,Name,Score,Studios,Source,Ranked,Popularity,Completed
12071,Godzilla 1: Kaijuu Wakusei,6.53,Polygon Pictures,Original,5742,2329,33941
12073,Marginal#4: Kiss kara Tsukuru Big Bang,6.7,J.C.Staff,Music,4903,4316,5277
12077,Mahou Shoujo Nante Mou Ii Desukara. Second Season,6.08,Pine Jam,Web manga,7907,4759,7272
12078,ID-0,6.59,SANZIGEN,Original,5446,3894,9014
12079,Cheer Danshi!! Recap,5.91,Brain's Base,Novel,8484,6969,3142
12081,Sengoku Choujuu Giga: Kou,5.89,ILCA,Original,8558,6195,2348
12082,Macross Δ: Delta Shougekijou,6.17,Studio PuYUKAI,Original,7516,9412,489
12083,Girlfriend (Note),6.09,Encourage Films,Game,7849,7656,756
12084,Teekyuu 8,6.67,Millepensee,Manga,5037,4616,8287
12085,Ao Oni The Animation,5.14,Studio Deen,Game,10396,3944,9910
12086,Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,7.38,J.C.Staff,Manga,1964,4284,9365
12087,Ao Oni The Animation (Movie),4.22,Studio Deen,Game,10956,5983,3135
12096,Sin: Nanatsu no Taizai,5.69,"Artland, TNK",Other,9186,1285,40515
12098,Seiren,6.31,"Studio Gokumi, AXsiZ",Original,6818,946,70517
12099,Alice in Deadly School,5.6,Hoods Entertainment,Other,9416,4242,12
12100,Kabuki-bu!,6.62,Studio Deen,Novel,5283,3935,5435
12103,Free! Movie 1: Timeless Medley - Kizuna,7.52,Kyoto Animation,Original,1516,2976,11833
12104,Garo: Guren no Tsuki - Yurugaro,5.65,DLE,Original,9282,10599,291
12106,Nil Admirari no Tenbin,6.61,Zero-G,Visual novel,5303,2985,9804
12124,Fujinkoron-senpai,5.22,HOTZIPANG,Original,10290,13773,173
12140,Saredo Tsumibito wa Ryuu to Odoru,5.82,Seven Arcs Pictures,Light novel,8763,2352,12529
12146,IDOLiSH7,7.78,TROYCA,Game,865,2570,15896
12150,Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,5.92,Composition Inc.,Original,8475,8747,1712
12159,Nineko Gelée,5.43,DLE,Original,9842,13279,168
12164,Quanzhi Gaoshou,7.98,B.CMAY PICTURES,Novel,567,504,169607
12166,Boku no Hero Academia: Sukue! Kyuujo Kunren!,7.32,Bones,Manga,2247,1209,90319
12168,Trigger-chan,6.26,Trigger,Original,7067,4826,6919
12174,Towel Story,5.86,Pops Inc.,Original,8639,13584,194
12178,Hinako Note,6.76,Passione,4-koma manga,4617,1669,29747
12179,Oshiete! Galko-chan: Natsuyasumitte Hontou Desu ka?,7.12,feel.,Digital manga,3128,3379,16092
12180,Black Clover: Jump Festa 2016 Special,6.77,Xebec,Manga,4579,3045,19976
12181,Danball Senki Wars: All Star Battle,6.34,OLM,Original,6661,11594,315
12185,91 Days: Mijikai Rousoku,6.4,Shuka,Original,6391,3402,19093
12186,Yume Oukoku to Nemureru 100-nin no Ouji-sama,5.9,Project No.9,Game,8544,4216,4220
12187,Shuangsheng Lingtan,7.28,B.CMAY PICTURES,Manga,2445,4661,2704
12188,Girls & Panzer: Saishuushou Part 1,7.96,Actas,Original,588,2947,15983
12189,Cyphers,5.88,Studio Ppuri,Game,8594,9899,262
12190,3-Nen D-Gumi Glass no Kamen,4.71,DLE,Manga,10834,8893,928
12196,Onihei,7.31,Studio M2,Novel,2278,2786,13746
12197,Bloodivores,5.51,"Creators in Pack, Namu Animation",Web manga,9667,1610,39266
12199,Demi-chan wa Kataritai,7.62,A-1 Pictures,Manga,1211,435,213378
12202,Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,6.78,Gallop,Manga,4558,7591,1540
12208,Kakuchou Shoujo-kei Trinary,6.05,feel.,Original,8051,3485,888
12209,Days (TV) OVA,6.86,MAPPA,Manga,4185,5646,1883
12210,To Be Hero,7.0,Haoliners Animation League,Original,3655,2272,27826
12211,Isekai Shokudou,7.35,SILVER LINK.,Light novel,2107,980,81705
12212,Hagane Orchestra,5.58,Fanworks,Game,9477,6858,1663
12215,Hatsukoi Monster: Mou Chotto dake Tsuzukunja,6.1,Studio Deen,Manga,7794,5819,1826
12216,Tsugumomo,7.07,Zero-G,Manga,3339,1107,69341
